word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,auditory.sd,gustatory.sd,haptic.sd,interoceptive.sd,olfactory.sd,visual.sd,foot_leg.sd,hand_arm.sd,head.sd,mouth.sd,torso.sd
huntress,1.833333333,0.277777778,1.277777778,0.555555556,0.277777778,3.5,0.941176471,1.352941176,1.823529412,0.352941176,0.705882353,1.947849493,1.178511302,2.108960032,1.381483526,1.178511302,1.886484437,1.748949264,1.868862504,2.270332963,0.785905248,1.159994929
huntsman,1.5,0.0,1.0,0.0625,0.5625,2.625,1.2,1.7,2.0,0.75,0.8,1.751190072,0.0,1.751190072,0.25,0.892094913,2.276693509,1.673320053,2.00262985,1.973508764,1.482352327,1.50787407
huntswoman,1.533333333,0.0,0.933333333,0.466666667,0.133333333,3.266666667,1.4,2.2,2.4,1.0,1.4,1.995232413,0.0,1.486446706,0.990430402,0.516397779,2.086236073,1.602629418,2.166734142,2.186080366,1.521771821,1.729009452
hurdle,1.176470588,0.294117647,1.647058824,0.823529412,0.352941176,3.117647059,3.272727273,1.454545455,2.181818182,0.363636364,1.090909091,2.068673915,1.212678125,1.868862504,1.380004263,1.221739358,1.798692335,2.051290376,1.682607747,1.991323169,1.09307145,1.444499943
hurdler,1.066666667,0.0,0.666666667,0.533333333,0.133333333,3.866666667,3.3,2.1,1.9,0.65,2.0,1.437590577,0.0,1.588650221,1.125462868,0.351865775,1.684664726,2.273416164,2.049390153,1.997366687,1.308876577,2.026144901
hurl,1.0,0.352941176,1.058823529,1.411764706,0.705882353,2.882352941,0.863636364,3.454545455,0.590909091,1.772727273,1.227272727,1.695582496,0.785905248,1.712840778,1.970368732,1.611082939,1.900077398,1.4895015,2.219551064,1.140555041,2.158743422,1.659943148
hurled,1.214285714,0.5,1.5,1.928571429,0.571428571,3.857142857,0.75,3.625,1.1875,0.6875,0.875,1.368804724,1.400549343,1.743118337,1.940035119,1.157868447,1.610405723,1.183215957,1.784189825,1.796988221,1.447699324,1.5
hurler,1.307692308,0.076923077,1.538461538,0.615384615,0.230769231,3.384615385,1.944444444,3.222222222,1.277777778,0.777777778,2.277777778,1.797434069,0.277350098,2.10615703,1.260850344,0.832050294,2.063106943,1.731107168,2.129776447,1.708303443,1.308594017,1.840893503
hurling,2.166666667,0.555555556,2.055555556,1.777777778,0.5,3.611111111,0.7,3.25,1.35,0.95,1.35,1.790497795,1.199128224,1.696786659,1.986885104,0.985184366,1.68519117,1.128576187,1.860248993,1.78517285,1.538112309,1.496487115
hurrah,3.8125,0.3125,0.8125,1.4375,0.3125,1.8125,0.733333333,1.6,2.933333333,4.0,0.933333333,1.424488212,1.25,1.470544117,1.896268265,1.25,1.905037182,1.486446706,1.956673562,2.120197655,1.511857892,1.709915063
hurray,4.0,0.333333333,0.333333333,0.733333333,0.6,1.6,0.421052632,1.473684211,1.421052632,2.578947368,0.421052632,1.414213562,1.290994449,1.290994449,1.387014608,1.594633859,1.764733893,0.768533197,1.775400457,1.773752753,2.11649053,0.901590537
hurricane,3.444444444,0.055555556,1.611111111,1.0,0.611111111,4.0,1.888888889,1.888888889,3.888888889,1.055555556,1.888888889,1.822158456,0.23570226,1.883016631,1.414213562,1.036900863,1.608799333,1.745208192,1.875190622,1.640978506,1.551933224,1.843554396
hurried,1.8,0.0,0.7,2.5,0.0,3.25,2.705882353,2.058823529,2.235294118,1.294117647,1.647058824,1.852452144,0.0,1.592746717,1.820930936,0.0,1.517442447,2.023755972,2.045439691,1.714985851,1.759428383,1.729926894
hurriedly,1.882352941,0.176470588,0.352941176,1.941176471,0.0,3.411764706,3.444444444,2.388888889,2.388888889,1.777777778,1.777777778,1.653872461,0.727606875,0.861769725,1.748949264,0.0,1.543487266,1.464168996,1.819466272,1.85151413,1.664704728,1.592465922
hurriedness,1.222222222,0.0,0.0,2.166666667,0.0,2.5,2.823529412,2.176470588,2.294117647,0.941176471,1.411764706,1.437135859,0.0,0.0,1.917412472,0.0,1.757337558,1.91165158,1.975958442,1.862951485,1.519481336,1.872792819
hurry,1.181818182,0.0,0.545454545,2.681818182,0.0,2.863636364,4.166666667,2.833333333,2.555555556,1.777777778,2.388888889,1.708141949,0.0,1.05682691,1.912026191,0.0,1.833431717,0.923548145,1.504893977,1.885618083,1.592465922,1.914000703
hurryingly,1.882352941,0.0,0.588235294,1.470588235,0.0,3.352941176,2.941176471,2.235294118,2.235294118,1.764705882,2.058823529,1.798692335,0.0,1.325651893,1.771921523,0.0,1.693412844,1.951620744,1.855040827,2.047236301,2.047236301,2.135140166
hurt,1.722222222,0.333333333,2.055555556,3.944444444,0.333333333,2.611111111,2.75,2.85,2.9,2.7,2.8,1.903728711,1.188177052,1.984416412,1.349170648,1.188177052,2.033220826,2.099498687,2.058998223,1.943951483,2.12998641,2.067289097
hurtful,2.764705882,0.058823529,1.235294118,3.176470588,0.117647059,2.529411765,0.7,1.05,3.1,2.85,0.7,1.562426469,0.242535625,1.562426469,1.975958442,0.48507125,1.58578242,1.417930293,1.731290969,2.023545612,2.254235779,1.417930293
hurtfully,2.368421053,0.0,1.368421053,2.421052632,0.0,1.684210526,1.35,1.65,2.65,1.95,1.2,1.94965884,0.0,1.706540566,1.980902978,0.0,1.945154423,1.954078057,2.058998223,1.954078057,2.163695669,1.794729125
hurtfulness,1.857142857,0.047619048,0.857142857,3.666666667,0.047619048,1.857142857,0.4,0.75,2.25,1.3,0.45,1.558387445,0.21821789,1.352246808,1.653279569,0.21821789,1.621286967,0.820782682,1.371706582,2.099498687,1.894590638,0.825577947
hurting,2.210526316,0.052631579,2.421052632,4.368421053,0.052631579,2.578947368,2.789473684,2.842105263,2.684210526,2.210526316,2.842105263,2.200478417,0.229415734,2.16835292,1.164785451,0.229415734,2.243900113,1.718492471,1.7082531,1.701392618,1.902599023,1.92247404
hurtle,0.428571429,0.0,1.0,0.642857143,0.0,3.142857143,2.166666667,1.666666667,1.666666667,0.888888889,1.333333333,0.755928946,0.0,1.467598771,1.008208072,0.0,1.915810447,2.093407018,1.782265577,1.608799333,1.367216532,1.371988681
husband,3.05,0.45,1.8,1.25,1.05,3.7,0.8,1.7,2.55,1.65,1.5,1.731290969,0.887041208,1.794729125,1.618153594,1.050062655,1.592746717,1.50787407,1.976173868,2.282081229,2.134306247,1.960128889
