tokens,count
wife's,570
sighs.,570
petals,570
prayed,569
"sniffed,",569
orders,569
seat.,568
chin.,568
"groaned,",568
"themselves,",568
"tonight,",567
"through,",567
forms,567
"forehead,",567
scars,567
songs,567
human.,567
worry.,567
"turned,",566
eros',566
could've,565
aimed,565
realm.,565
do?,565
flinched,564
glaucus,564
"idea,",564
"father.""",564
hug.,563
free.,563
ones.,563
teased,563
"short,",563
donna,563
snapped.,563
me...,562
checking,561
"there,""",561
far.,560
"she,",560
circe,559
stained,559
embrace.,557
"reply,",557
"response,",557
"snapped,",557
"so,""",556
"direction,",556
"exclaimed,",556
everyone's,555
laughing.,555
games,555
crashing,555
kitchen.,555
"on.""",555
zhe,554
captured,554
"dear,",554
future.,554
xiang,553
fall.,553
spine.,553
yanked,553
"smirked,",553
descended,553
dream.,553
"""was",553
saki,553
avoided,553
tatewaki,552
"chin,",552
beauty.,552
"further,",552
"return,",551
"part,",550
sends,550
"began,",550
mikasa,550
bothering,550
"time?""",550
minotaur,549
jumping,549
winds,549
"mother.""",549
"""alright,",549
characters,548
next.,548
"low,",548
"gold,",548
leo,548
"unfortunately,",547
flowed,547
ni,547
covers,547
trembled,547
"good.""",546
shoving,546
arthur's,546
abilities,545
"passed,",545
"way,""",545
peered,545
want.,545
nature.,544
lucius,544
already.,544
"tears,",544
"came,",543
slumped,543
chains,542
hui,542
guo,542
alexander's,542
"smiles,",542
occurred,541
priam,541
secrets,541
separated,540
popped,540
flipped,540
lifts,540
"different,",538
windows,538
alex's,538
planted,538
"""never",537
"soul,",537
"slow,",537
baby.,537
reacted,537
hektor's,535
doubted,535
ideas,535
questioning,535
earlier.,534
smirk.,533
deiphobus,533
protected,533
swallowing,533
"stone,",533
"bad,",532
impressed,532
"months,",532
"life.""",531
"evening,",531
waits,530
"nods,",530
"up,""",529
trees.,529
"baby,",529
bucky,529
"""shut",529
caressed,529
betrayed,529
added.,528
gold.,528
he?,528
anyone.,528
"wings,",528
eren,527
angry.,527
jormungandr,527
"position,",527
garden.,526
"mortals,",526
"alright?""",526
floated,526
"ones,",525
shivered,525
"trees,",525
going.,525
"anything.""",525
bits,524
"see,""",523
oldest,523
reka,522
observed,522
months.,521
"yourself.""",521
line.,521
"sound,",521
artemis.,521
real.,521
dress.,520
"""yeah.",520
tighter,520
gasps,520
"will.""",520
fault.,519
"""nothing",519
lost.,519
"care,",519
memory.,519
along.,519
"angry,",519
"asked,""",519
kings,518
mountains,518
scratched,518
ducked,518
hundreds,517
"can,",517
"""our",517
position.,517
hours.,516
gasped.,516
happosai,516
mal,515
